id,country,segment,issuer_id,issuer,network,network_tier,type,status,annual_fee_amount,annual_fee_currency,rewards_currency,rate_type,base_rate,signup_bonus_amount,signup_bonus_unit,official_url,last_verified
us-fnbo-amtrak-guest-rewards,us,personal,fnbo,First National Bank of Omaha,mastercard,none,credit,active,0,USD,amtrak_guest_rewards_points,points_multiplier,1,20000,amtrak_guest_rewards_points,https://www.card.fnbo.com/amtrakguestrewards/apply,2026-07-24
us-fnbo-amtrak-guest-rewards-preferred,us,personal,fnbo,First National Bank of Omaha,mastercard,none,credit,active,99,USD,amtrak_guest_rewards_points,points_multiplier,1,30000,amtrak_guest_rewards_points,https://www.card.fnbo.com/amtrakguestrewards/apply,2026-07-24
us-penfed-pathfinder,us,personal,penfed,PenFed,visa,signature,credit,active,95,USD,points,points_multiplier,1.5,50000,points,https://www.penfed.org/credit-cards/pathfinder-rewards,2026-07-23
us-synchrony-virgin-red-rewards,us,personal,synchrony,Synchrony,mastercard,world_elite,credit,active,99,USD,virgin_points,points_multiplier,1,60000,virgin_points,https://www.synchrony.com/s/partner/virgin-red-rewards-card/benefits,2026-07-24
us-synchrony-walmart-onepay-cashrewards,us,personal,synchrony,Synchrony,mastercard,world,credit,active,0,USD,onepay_points,points_multiplier,1.5,35,USD cash back,https://www.onepay.com/credit-card,2026-07-24
us-us-bank-shield-visa,us,personal,us-bank,U.S. Bank,visa,signature,credit,active,0,USD,cash_back,cashback_percent,,,,https://www.usbank.com/credit-cards/shield-visa-credit-card.html,2026-07-24
us-wells-fargo-attune,us,personal,wells-fargo,Wells Fargo,mastercard,world_elite,credit,active,0,USD,cash_rewards,cashback_percent,1,100,USD cash rewards,https://creditcards.wellsfargo.com/attune-credit-card/,2026-07-24
us-wells-fargo-autograph-journey,us,,wells-fargo,Wells Fargo,visa,signature,credit,active,95,USD,wells_fargo_rewards,,1,60000,points,https://creditcards.wellsfargo.com/autograph-journey-visa-credit-card,2026-07-24
us-wells-fargo-expedia-one-key,us,personal,wells-fargo,Wells Fargo,mastercard,world_elite,credit,active,0,USD,onekeycash,cashback_percent,1.5,250,USD OneKeyCash,https://creditcards.wellsfargo.com/one-key-credit-card/,2026-07-24
us-wells-fargo-reflect,us,personal,wells-fargo,Wells Fargo,visa,signature,credit,active,0,USD,none,points_multiplier,,,,https://creditcards.wellsfargo.com/reflect-visa-credit-card/,2026-07-24
